Module,Sub-Module,Topic,Number,Spec-Point,Learning-Outcome,,,,
Foundations in biology,Foundations in biology,Biological membranes,2.1.5,a,The roles of membranes within cells and at the surface of cells,,,,
Foundations in biology,Foundations in biology,Biological membranes,2.1.5,b,The fluid mosaic model of membrane structure and the roles of its components,,,,
Foundations in biology,Foundations in biology,Biological membranes,2.1.5,c,[i]     factors affecting membrane structure and permeability [ii]    practical investigations into factors affecting membrane structure and permeability,,,,
Foundations in biology,Foundations in biology,Biological membranes,2.1.5,d,[i]     the movement of molecules across membranes [ii]    practical investigations into the factors affecting diffusion rates in model cells,,,,
Foundations in biology,Foundations in biology,Biological membranes,2.1.5,e,[i]     the movement of water across membranes by osmosis and the effects that solutions of different water potential can have on plant and animal cells [ii]    practical investigations into the effects of solutions of different water potential on plant and animal cells.,,,,
Foundations in biology,Foundations in biology,Cell division cell diversity and cellular organisation,2.1.6,a,The cell cycle,,,,
Foundations in biology,Foundations in biology,Cell division cell diversity and cellular organisation,2.1.6,b,How the cell cycle is regulated,,,,
Foundations in biology,Foundations in biology,Cell division cell diversity and cellular organisation,2.1.6,c,The main stages of mitosis,,,,
Foundations in biology,Foundations in biology,Cell division cell diversity and cellular organisation,2.1.6,d,Sections of plant tissue showing the cell cycle and stages of mitosis,,,,
Foundations in biology,Foundations in biology,Cell division cell diversity and cellular organisation,2.1.6,e,The significance of mitosis in life cycles,,,,
Foundations in biology,Foundations in biology,Cell division cell diversity and cellular organisation,2.1.6,f,The significance of meiosis in life cycles,,,,
Foundations in biology,Foundations in biology,Cell division cell diversity and cellular organisation,2.1.6,g,The main stages of meiosis,,,,
Foundations in biology,Foundations in biology,Cell division cell diversity and cellular organisation,2.1.6,h,How cells of multicellular organisms are specialised for particular functions,,,,
Foundations in biology,Foundations in biology,Cell division cell diversity and cellular organisation,2.1.6,i,The organisation of cells into tissues,, organs and organ systems,,
Foundations in biology,Foundations in biology,Cell division cell diversity and cellular organisation,2.1.6,j,The features and differentiation of stem cells,,,,
Foundations in biology,Foundations in biology,Cell division cell diversity and cellular organisation,2.1.6,k,The production of erythrocytes and neutrophils as examples of distinct,, differentiated cells derived from a common stem cell in bone marrow,,
Foundations in biology,Foundations in biology,Cell division cell diversity and cellular organisation,2.1.6,l,The production of xylem vessels and phloem sieve tubes as examples of distinct,, differentiated outcomes derived from a common stem cell in meristems,,
Foundations in biology,Foundations in biology,Cell division cell diversity and cellular organisation,2.1.6,m,The potential uses of stem cells in research and medicine.,,,,
Exchange and transport,Exchange and transport,Exchange surfaces,3.1.1,a,The need for specialised exchange surfaces,,,,
Exchange and transport,Exchange and transport,Exchange surfaces,3.1.1,c,The structures and functions of the components of the mammalian gaseous exchange system,,,,
Exchange and transport,Exchange and transport,Exchange surfaces,3.1.1,b,The features of an efficient exchange surface,,,,
Exchange and transport,Exchange and transport,Exchange surfaces,3.1.1,d,The mechanism of ventilation in mammals,,,,
Exchange and transport,Exchange and transport,Exchange surfaces,3.1.1,e,The relationship between vital capacity tidal volume breathing rate and oxygen uptake,,
Exchange and transport,Exchange and transport,Exchange surfaces,3.1.1,f,The mechanisms of ventilation and gas exchange in bony fish and insects,,,,
Exchange and transport,Exchange and transport,Exchange surfaces,3.1.1,g,The dissection examination and drawing of the gaseous exchange system of a bony fish and/or insect trachea,,,
Exchange and transport,Exchange and transport,Exchange surfaces,3.1.1,h,The examination of microscope slides to show the histology of exchange surfaces.,,,,
Exchange and transport,Exchange and transport,Transport in animals,3.1.2,a,The need for transport systems in multicellular animals,,,,
Exchange and transport,Exchange and transport,Transport in animals,3.1.2,b,The different types of circulatory systems,,,,
Exchange and transport,Exchange and transport,Transport in animals,3.1.2,c,The structure and functions of arteries arterioles capillaries venules and veins,
Exchange and transport,Exchange and transport,Transport in animals,3.1.2,d,The formation of tissue fluid from plasma,,,,
Exchange and transport,Exchange and transport,Transport in animals,3.1.2,e,[i]     the external and internal structure of the mammalian heart [ii]    the dissection examination and drawing of the external and internal structure of the mammalian heart,,,
Exchange and transport,Exchange and transport,Transport in animals,3.1.2,f,The cardiac cycle,,,,
Exchange and transport,Exchange and transport,Transport in animals,3.1.2,g,How heart action is initiated and coordinated,,,,
Exchange and transport,Exchange and transport,Transport in animals,3.1.2,h,The use and interpretation of electrocardiogram (ECG) traces,,,,
Exchange and transport,Exchange and transport,Transport in animals,3.1.2,i,The role of haemoglobin in transporting oxygen and carbon dioxide,,,,
Exchange and transport,Exchange and transport,Transport in animals,3.1.2,j,The oxygen dissociation curve for fetal and adult human haemoglobin.,,,,
Exchange and transport,Exchange and transport,Transport in plants,3.1.3,a,The need for transport systems in multicellular plants,,,,
Exchange and transport,Exchange and transport,Transport in plants,3.1.3,b,[i]     the structure and function of the vascular system in the roots stems and leaves of herbaceous dicotyledonous plants [ii]    the examination and drawing of stained sections of plant tissue to show the distribution of xylem and phloem [iii]   the dissection of stems, both longitudinally and transversely, and their examination to demonstrate the position and structure of xylem vessels,
Exchange and transport,Exchange and transport,Transport in plants,3.1.3,c,[i]     the process of transpiration and the environmental factors that affect transpiration rate [ii]    practical investigations to estimate transpiration rates,,,,
Exchange and transport,Exchange and transport,Transport in plants,3.1.3,d,The transport of water into the plant through the plant and to the air surrounding the leaves,,,
Exchange and transport,Exchange and transport,Transport in plants,3.1.3,e,Adaptations of plants to the availability of water in their environment,,,,
Exchange and transport,Exchange and transport,Transport in plants,3.1.3,f,The mechanism of translocation.,,,,
Biodiversity evolution and disease,Communicable diseases disease prevention and the immune system,Communicable diseases disease prevention and the immune system,4.1.1,a,The different types of pathogen that can cause communicable diseases in plants and animals,,,,
Biodiversity evolution and disease,Communicable diseases disease prevention and the immune system,Communicable diseases disease prevention and the immune system,4.1.1,b,The means of transmission of animal and plant communicable pathogens,,,,
Biodiversity evolution and disease,Communicable diseases disease prevention and the immune system,Communicable diseases disease prevention and the immune system,4.1.1,c,Plant defences against pathogens,,,,
Biodiversity evolution and disease,Communicable diseases disease prevention and the immune system,Communicable diseases disease prevention and the immune system,4.1.1,d,The primary non-specific defences against pathogens in animals,,,,
Biodiversity evolution and disease,Communicable diseases disease prevention and the immune system,Communicable diseases disease prevention and the immune system,4.1.1,e,[i]     the structure and mode of action of phagocytes [ii]    examination and drawing of cells observed in blood smears,,,,
Biodiversity evolution and disease,Communicable diseases disease prevention and the immune system,Communicable diseases disease prevention and the immune system,4.1.1,f,The structure,,,, different roles and modes of action of B and T lymphocytes in the specific immune response
Biodiversity evolution and disease,Communicable diseases disease prevention and the immune system,Communicable diseases disease prevention and the immune system,4.1.1,g,The primary and secondary immune responses,,,,
Biodiversity evolution and disease,Communicable diseases disease prevention and the immune system,Communicable diseases disease prevention and the immune system,4.1.1,h,The structure and general functions of antibodies,,,,
Biodiversity evolution and disease,Communicable diseases disease prevention and the immune system,Communicable diseases disease prevention and the immune system,4.1.1,i,An outline of the action of opsonins,,,, agglutinins and anti-toxins
Biodiversity evolution and disease,Communicable diseases disease prevention and the immune system,Communicable diseases disease prevention and the immune system,4.1.1,j,The differences between active and passive immunity,,,, and between natural and artificial immunity
Biodiversity evolution and disease,Communicable diseases disease prevention and the immune system,Communicable diseases disease prevention and the immune system,4.1.1,k,Autoimmune diseases,,,,
Biodiversity evolution and disease,Communicable diseases disease prevention and the immune system,Communicable diseases disease prevention and the immune system,4.1.1,l,The principles of vaccination and the role of vaccination programmes in the prevention of epidemics,,,,
Biodiversity evolution and disease,Communicable diseases disease prevention and the immune system,Communicable diseases disease prevention and the immune system,4.1.1,m,Possible sources of medicines,,,,
Biodiversity evolution and disease,Communicable diseases disease prevention and the immune system,Communicable diseases disease prevention and the immune system,4.1.1,n,The benefits and risks of using antibiotics to manage bacterial infection.,,,,
